316,54,322,54,322,72,316,72
372,56,380,56,380,74,372,74
268,58,276,58,276,74,268,74
286,58,296,58,296,78,286,78
334,58,340,58,340,72,334,72
380,58,386,58,386,72,380,72
390,58,396,58,396,70,390,70
396,58,404,58,404,72,396,72
404,58,414,58,414,72,404,72
210,60,216,60,216,78,210,78
278,60,286,60,286,74,278,74
300,60,306,60,306,74,300,74
308,60,314,60,314,74,308,74
326,60,332,60,332,72,326,72
352,60,360,60,360,72,352,72
362,60,374,60,374,74,362,74
202,62,210,62,210,76,202,76
224,62,232,62,232,74,224,74
236,62,242,62,242,74,236,74
250,62,258,62,258,74,250,74
240,84,250,84,250,100,240,100
284,84,292,84,292,96,284,96
270,86,276,86,276,100,270,100
292,86,298,86,298,100,292,100
224,114,234,114,234,140,224,140
358,114,368,114,368,140,358,140
264,116,274,116,274,142,264,142
390,116,402,116,402,140,390,140
368,120,378,120,378,140,368,140
382,120,392,120,392,140,382,140
400,120,410,120,410,140,400,140
244,122,254,122,254,142,244,142
254,122,264,122,264,142,254,142
272,122,280,122,280,140,272,140
282,122,292,122,292,140,282,140
298,122,308,122,308,142,298,142
314,122,324,122,324,140,314,140
324,122,334,122,334,142,324,142
338,122,348,122,348,140,338,140
348,122,358,122,358,140,348,140
210,124,220,124,220,144,210,144
232,124,242,124,242,142,232,142
350,152,364,152,364,178,350,178
294,154,306,154,306,180,294,180
306,154,320,154,320,182,306,182
330,154,342,154,342,178,330,178
340,154,352,154,352,180,340,180
362,154,374,154,374,178,362,178
236,156,246,156,246,180,236,180
272,156,284,156,284,182,272,182
280,154,296,154,296,180,280,180
318,156,330,156,330,182,318,182
228,162,234,162,234,178,228,178
336,200,348,200,348,226,336,226
274,202,286,202,286,226,274,226
282,200,308,200,308,228,282,228
304,202,316,202,316,226,304,226
316,202,328,202,328,226,316,226
326,202,338,202,338,226,326,226
194,212,200,212,200,226,194,226
272,278,294,278,294,306,272,306
292,280,304,280,304,308,292,308
302,282,314,282,314,306,302,306
310,280,332,280,332,308,310,308
328,280,352,280,352,306,328,306
360,282,372,282,372,304,360,304
350,284,362,284,362,304,350,304
192,290,202,290,202,304,192,304
230,290,236,290,236,304,230,304
314,316,336,316,336,342,314,342
338,318,350,318,350,342,338,342
348,318,360,318,360,344,348,344
358,316,382,316,382,342,358,342
380,318,392,318,392,342,380,342
390,320,402,320,402,342,390,342
398,318,424,318,424,348,398,348
194,328,200,328,200,342,194,342
234,332,240,332,240,346,234,346
254,352,266,352,266,376,254,376
264,352,276,352,276,374,264,374
274,352,286,352,286,376,274,376
286,352,300,352,300,376,286,376
298,352,308,352,308,380,298,380
306,352,318,352,318,376,306,376
316,352,328,352,328,376,316,376
308,400,328,400,328,422,308,422
326,402,336,402,336,422,326,422
336,402,346,402,346,422,336,422
342,400,368,400,368,422,342,422
368,402,378,402,378,422,368,422
376,402,386,402,386,426,376,426
386,402,396,402,396,422,386,422
392,400,420,400,420,428,392,428
194,404,202,404,202,418,194,418
214,404,220,404,220,418,214,418
222,404,228,404,228,418,222,418
228,404,236,404,236,418,228,418
236,404,244,404,244,418,236,418
196,444,206,444,206,462,196,462
202,442,222,442,222,462,202,462
222,444,232,444,232,462,222,462
228,442,252,442,252,466,228,466
252,444,262,444,262,462,252,462
258,442,278,442,278,464,258,464
274,444,294,444,294,464,274,464
290,444,318,444,318,470,290,470
316,444,334,444,334,464,316,464
330,444,348,444,348,466,330,466
362,444,390,444,390,466,362,466
390,446,400,446,400,466,390,466
396,444,416,444,416,466,396,466
348,446,366,446,366,466,348,466
